/Objects/CoatingLine/Pretreatment/FG01_Chamber1/FG01_VesselZone1/Process/PreFilter/ActualValue,/Objects/CoatingLine/Pretreatment/FG01_Chamber1/FG01_VesselZone1/Process/Level/ActualValue,/Objects/CoatingLine/Pretreatment/FG01_Chamber1/FG01_VesselZone1/Process/Temperature/ActualValue,/Objects/CoatingLine/Pretreatment/FG02_Chamber2/FG02_VesselZone2/Process/Level/ActualValue,/Objects/CoatingLine/Pretreatment/FG02_Chamber2/FG02_VesselZone3/Process/Level/ActualValue,/Objects/CoatingLine/Pretreatment/FG03_Chamber3/FG03_VesselZone4/Process/Level/ActualValue,/Objects/CoatingLine/Pretreatment/FG03_Chamber3/FG03_VesselZone5/Process/Level/ActualValue,/Objects/CoatingLine/Pretreatment/Identification/Manufacturer,/Objects/CoatingLine/Pretreatment/Identification/ProductInstanceUri,/Objects/CoatingLine/Pretreatment/Identification/SerialNumber,/Objects/CoatingLine/Pretreatment/FG01_Chamber1/FG01_VesselZone1/ComponentIdentification/Manufacturer,/Objects/CoatingLine/Pretreatment/FG02_Chamber2/FG02_VesselZone2/ComponentIdentification/Manufacturer,/Objects/CoatingLine/Pretreatment/FG02_Chamber2/FG02_VesselZone3/ComponentIdentification/Manufacturer,/Objects/CoatingLine/Pretreatment/FG03_Chamber3/FG03_VesselZone4/ComponentIdentification/Manufacturer,/Objects/CoatingLine/Pretreatment/FG03_Chamber3/FG03_VesselZone5/ComponentIdentification/Manufacturer
0.1,47.5,50.1,56,53.5,41.5,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.1,55.9,53.5,41.3,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.1,55.9,53.5,41,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.1,55.9,53.5,40.9,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.1,55.9,53.5,40.8,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.1,55.9,53.5,40.8,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.6,50.1,55.9,53.5,40.7,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.6,50.1,55.9,53.5,40.5,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.2,55.9,53.5,40.4,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.6,50.2,55.9,53.5,40.4,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.6,50.2,56,53.5,40.3,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.6,50.2,55.9,53.5,40.2,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.5,50.2,55.4,53.4,40,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.5,50.2,54.9,53.3,40,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.5,50.2,54.5,53.3,39.9,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.6,50.2,53.7,53.2,39.8,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.5,50.2,52.7,53.2,39.7,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.5,50.2,51.1,53.3,39.7,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.5,50.2,50.4,53.3,39.5,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.5,50.2,49.5,53.3,39.4,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0,47.5,50.2,49.5,53.3,39.4,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.4,50.2,48.6,53.3,39.4,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.4,50.2,48,53.3,39.3,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.4,50.2,47.6,53.3,39.2,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.2,47.2,53.3,39.2,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.2,46.7,53.3,39.4,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.2,46.2,53.3,39.9,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.2,45.7,53.3,40.4,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.2,45.3,53.3,40.8,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.3,45.1,53.3,41.2,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.5,50.3,44.6,53.3,41.7,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.6,50.3,44.3,53.3,42.4,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
0.1,47.6,50.4,43.5,53.3,43.1,57.1,AFOTEK GmbH,Test,Test,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH,AFOTEK GmbH
